season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Gérald Cid,581,0.15,0,NA,NA
2005,Renaud Cohade,1014,0,0,NA,NA
2005,Jean-Claude Darcheville,1352,0.27,0,NA,NA
2005,Julien Faubert,2305,0.04,0.16,NA,NA
2005,David Jemmali,2073,0,0.04,NA,NA
2005,Franck Jurietti,2700,0,0.03,NA,NA
2005,Michalis Kapsis,2586,0,0,NA,NA
2005,Lilian Laslandes,1456,0.37,0.12,NA,NA
2005,Florian Marange,450,0,0,NA,NA
2005,Rio Mavuba,3420,0,0,NA,NA
2005,Camel Meriem,2712,0.2,0.1,NA,NA
2005,Juan Pablo Francia,2440,0.07,0.3,NA,NA
2005,Marc Planus,3060,0,0,NA,NA
2005,Ulrich Ramé,3330,0,0,NA,NA
2005,Thiago Ribeiro,69,0,0,NA,NA
2005,Albert Riera,1476,0.12,0.12,NA,NA
2005,Cyril Rool,2273,0.08,0,NA,NA
2005,Frédéric Roux,90,0,0,NA,NA
2005,Kalu Uche,820,0.11,0,NA,NA
2005,Mathieu Valverde,4,0,NA,NA,NA
2005,Daniele Adani,948,0,0,NA,NA
2005,Federico Agliardi,45,0,0,NA,NA
2005,Matías Almeyda,384,0,0.23,NA,NA
2005,Jonathan Bachini,270,0,0,NA,NA
2005,Daniele Berretta,363,0,0,NA,NA
2005,Andrea Caracciolo,2901,0.37,0.03,NA,NA
2005,Luca Castellazzi,3375,0,0,NA,NA
2005,Simone Dallamano,1876,0,0.05,NA,NA
2005,Simone Del Nero,869,0.1,0,NA,NA
2005,Marco Delvecchio,496,0,0,NA,NA
2005,Luigi Di Biagio,2943,0.28,0.09,NA,NA
